                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5118,                 1.0022,                 1.4239,                0.75554,                0.52055,                0.63891,                0.23832,                 2.2355,                 1.4661,                 1.9219,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.5493,                 0.9961,                 1.3998,                0.70706,                0.49315,                0.55532,                0.19694,                 2.4249,                 1.5315,                 2.1122,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.5167,                  1.002,                 1.4152,                 0.6388,                0.53425,                0.50124,                0.19214,                 2.3496,                 1.6461,                 2.0426,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.6289,                 1.0616,                 1.5092,                0.60588,                0.43836,                0.48161,                0.20093,                 2.3658,                 1.5841,                 2.0087,              0.0016436,              0.0016436,              0.0016436
                     39,                  1.542,                 1.0023,                 1.4214,                0.41884,                0.56164,                0.46057,                0.16476,                 2.5043,                 1.6444,                 2.1655,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.6289,                 1.0375,                 1.5136,                 0.5265,                0.47224,                0.44041,                0.17426,                 2.3229,                 1.7741,                 1.9411,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.5172,                 1.0089,                  1.419,                0.50978,                0.49315,                0.46544,                0.17806,                  2.286,                  1.641,                 1.9037,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.5526,                 1.1311,                 1.4227,                0.69295,                0.52055,                0.60645,                0.24516,                 2.2442,                 1.5192,                 1.8739,               0.001604,               0.001604,               0.001604
                     43,                 1.5432,                 1.0623,                 1.3982,                0.62179,                0.54795,                0.58445,                 0.2391,                 2.2824,                 1.4521,                 1.8348,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.5757,                 1.0102,                  1.403,                0.45296,                0.49315,                0.43755,                 0.1795,                  2.294,                 1.6478,                 1.8929,              0.0015842,              0.0015842,              0.0015842
